mid_timestamp_ms,run_id,start_timestamp_ms,end_timestamp_ms,start_elapsed_ms,end_elapsed_ms,mid_elapsed_ms,original_value,weight,value
1970-01-01 00:02:16.820,1,136479,137160,0,681,341,681,0.526,681
1970-01-01 00:02:17.647,1,137160,138134,681,1655,1168,974,0.401,974
1970-01-01 00:02:20.486,1,140207,140765,3728,4286,4007,558,0.287,558
1970-01-01 00:02:21.115,1,140765,141464,4286,4985,4636,699,0.806,699
1970-01-01 00:02:21.763,1,141464,142062,4985,5583,5284,598,0.471,598
1970-01-01 00:02:22.753,1,142397,143109,5918,6630,6274,712,0.512,712
1970-01-01 00:02:23.416,1,143109,143723,6630,7244,6937,614,0.259,614
1970-01-01 00:02:24.062,1,143723,144400,7244,7921,7583,677,0.501,677
1970-01-01 00:02:24.683,1,144400,144966,7921,8487,8204,566,0.65,566
1970-01-01 00:02:25.669,1,145402,145936,8923,9457,9190,534,0.564,534
1970-01-01 00:02:26.342,1,145936,146747,9457,10268,9863,811,0.635,811
1970-01-01 00:02:27.146,1,146747,147545,10268,11066,10667,798,0.494,798
1970-01-01 00:02:27.888,1,147545,148231,11066,11752,11409,686,0.786,686
1970-01-01 00:02:28.779,1,148231,149327,11752,12848,12300,1096,0.387,1096
1970-01-01 00:02:32.065,1,151496,152634,15017,16155,15586,1138,0.378,1138
1970-01-01 00:02:33.078,1,152634,153522,16155,17043,16599,888,0.53,888
1970-01-01 00:02:33.845,1,153522,154168,17043,17689,17366,646,0.451,646
1970-01-01 00:02:36.046,1,155644,156448,19165,19969,19567,804,0.738,804
1970-01-01 00:02:36.826,1,156448,157203,19969,20724,20347,755,0.321,755
1970-01-01 00:02:37.408,1,157203,157612,20724,21133,20929,409,0.447,409
1970-01-01 00:02:37.892,1,157612,158172,21133,21693,21413,560,0.372,560
1970-01-01 00:02:38.576,1,158172,158980,21693,22501,22097,808,0.253,808
1970-01-01 00:02:39.374,1,158980,159768,22501,23289,22895,788,0.885,788
1970-01-01 00:02:40.039,1,159768,160309,23289,23830,23560,541,0.325,541
1970-01-01 00:02:45.910,1,165669,166151,29190,29672,29431,482,0.347,482
1970-01-01 00:02:46.489,1,166151,166827,29672,30348,30010,676,0.265,676
1970-01-01 00:02:47.067,1,166827,167306,30348,30827,30588,479,0.568,479
1970-01-01 00:02:47.838,1,167306,168369,30827,31890,31359,1063,0.73,1063
1970-01-01 00:02:48.580,1,168369,168790,31890,32311,32101,421,0.47,421
1970-01-01 00:02:54.018,1,173760,174275,37281,37796,37539,515,0.544,515
1970-01-01 00:02:55.978,1,175511,176444,39032,39965,39499,933,0.38,933
1970-01-01 00:02:57.007,1,176444,177570,39965,41091,40528,1126,0.514,1126
1970-01-01 00:02:57.908,1,177570,178245,41091,41766,41429,675,0.441,675
1970-01-01 00:02:58.642,1,178245,179038,41766,42559,42163,793,0.496,793
