application_id,gender,age,region,income,credit_score,loan_amount,employment_type,existing_loans,rejected
APP100000,Female,48,Tier1,54684.0,613.0,50000.0,Salaried,3,0
APP100001,Male,57,Tier2,30695.0,780.0,325385.0,Salaried,1,0
APP100002,Female,49,Tier2,51604.0,686.0,285480.0,Salaried,3,0
APP100003,Female,47,Tier2,36260.0,734.0,105506.0,Self-employed,4,0
APP100004,Male,42,Tier1,49452.0,712.0,250049.0,Salaried,2,0
APP100005,Female,32,Tier2,15000.0,677.0,253223.0,Salaried,4,1
APP100006,Female,34,Tier2,32440.0,652.0,589514.0,Self-employed,0,1
APP100007,Female,54,Tier1,84279.0,747.0,333018.0,Salaried,4,0
APP100008,Male,25,Tier3,71608.0,773.0,455407.0,Salaried,1,1
APP100009,Male,25,Tier1,81381.0,767.0,282328.0,Self-employed,1,1
APP100010,Male,39,Tier2,82754.0,585.0,50000.0,Salaried,4,1
APP100011,Female,55,Tier2,68460.0,784.0,400851.0,Unemployed,2,1
APP100012,Female,50,Tier3,45943.0,651.0,201272.0,Salaried,3,1
APP100013,Female,47,Tier1,34255.0,620.0,249660.0,Self-employed,4,1
APP100014,Male,44,Tier1,77935.0,666.0,142054.0,Self-employed,2,0
APP100015,Male,26,Tier1,56291.0,746.0,310915.0,Salaried,1,0
APP100016,Female,36,Tier2,104880.0,723.0,459777.0,Salaried,2,0
APP100017,Male,25,Tier1,47698.0,660.0,439911.0,Self-employed,1,0
APP100018,Female,54,Tier3,94458.0,747.0,537928.0,Salaried,2,0
APP100019,Female,54,Tier1,51864.0,691.0,559194.0,Salaried,1,0
APP100020,Female,33,Tier1,81721.0,634.0,50000.0,Unemployed,4,1
APP100021,Male,34,Tier2,88934.0,623.0,120957.0,Self-employed,2,0
APP100022,Female,35,Tier3,34541.0,713.0,50000.0,Unemployed,3,1
APP100023,Female,60,Tier3,45300.0,673.0,394790.0,Self-employed,3,1
APP100024,Female,43,Tier2,34340.0,570.0,196038.0,Self-employed,1,0
APP100025,Male,54,Tier2,30401.0,748.0,226623.0,Self-employed,1,0
APP100026,Male,41,Tier2,68341.0,642.0,267510.0,Self-employed,4,0
APP100027,Male,52,Tier2,51067.0,807.0,357386.0,Self-employed,0,0
APP100028,Male,44,Tier1,56047.0,568.0,77202.0,Self-employed,1,1
APP100029,Female,33,Tier2,66125.0,666.0,111170.0,Salaried,3,1
APP100030,Female,59,Tier3,17852.0,624.0,300194.0,Salaried,2,1
APP100031,Female,52,Tier1,80735.0,602.0,479812.0,Salaried,3,0
APP100032,Male,55,Tier2,48018.0,641.0,296190.0,Unemployed,0,1
APP100033,Male,62,Tier2,65648.0,822.0,181251.0,Self-employed,1,0
APP100034,Male,32,Tier2,67414.0,691.0,50000.0,Salaried,2,1
APP100035,Male,25,Tier1,82416.0,617.0,442901.0,Salaried,1,0
APP100036,Male,47,Tier2,52903.0,534.0,189610.0,Salaried,2,1
APP100037,Male,36,Tier3,15000.0,542.0,127884.0,Salaried,4,1
APP100038,Male,40,Tier1,56143.0,637.0,50000.0,Self-employed,3,1
APP100039,Female,32,Tier2,59014.0,629.0,84135.0,Self-employed,3,1
APP100040,Male,39,Tier1,34315.0,662.0,155818.0,Salaried,0,0
APP100041,Female,38,Tier1,57950.0,498.0,264173.0,Salaried,2,1
APP100042,Female,37,Tier3,47780.0,673.0,118689.0,Salaried,4,0
APP100043,Male,53,Tier2,28145.0,762.0,327856.0,Salaried,3,0
APP100044,Female,47,Tier2,68430.0,810.0,263033.0,Self-employed,3,0
